0.0,15.5
1.55,15.5
3.1,15.5
4.65,15.5
6.2,15.5
7.75,15.5
9.3,15.5
10.85,15.5
12.4,15.5
13.950000000000001,15.5
15.5,15.5
17.05,15.5
18.6,15.5
20.150000000000002,15.5
21.7,15.5
23.25,15.5
24.8,15.5
26.35,15.5
27.900000000000002,15.5
29.45,15.5
31.0,15.5
32.550000000000004,15.5
34.1,15.5
35.65,15.5
37.2,15.5
38.75,15.5
40.300000000000004,15.5
41.85,15.5
43.4,15.5
44.95,15.5
46.5,15.5
48.050000000000004,15.5
49.6,15.5
51.15,15.5
52.7,15.5
54.25,15.5
55.800000000000004,15.5
57.35,15.5
58.9,15.5
60.45,15.5
62.0,15.5
63.550000000000004,15.5
65.10000000000001,15.5
66.65,15.5
68.2,15.5
69.75,15.5
71.3,15.5
72.85000000000001,15.5
74.4,15.5
75.95,15.5
77.5,15.5
79.05,15.5
80.60000000000001,15.5
82.15,15.5
83.7,15.5
85.25,15.5
86.8,15.5
88.35000000000001,15.5
89.9,15.5
91.45,15.5
93.0,15.5
94.55,15.5
96.10000000000001,15.5
97.65,15.5
99.2,15.5
100.75,15.5
102.3,15.5
103.85000000000001,15.5
105.4,15.5
106.95,15.5
108.5,15.5
110.05,15.5
111.60000000000001,15.5
113.15,15.5
114.7,15.5
116.25,15.5
117.8,15.5
119.35000000000001,15.5
120.9,15.501318874560376
122.45,15.503590269636577
124.0,15.505861664712778
125.55,15.50813305978898
127.10000000000001,15.510404454865181
128.65,15.512675849941383
130.20000000000002,15.514947245017586
131.75,15.517218640093787
133.3,15.519490035169989
134.85,15.52176143024619
136.4,15.524032825322392
137.95000000000002,15.526304220398593
139.5,15.528575615474795
141.05,15.530847010550996
142.6,15.5331184056272
144.15,15.5353898007034
145.70000000000002,15.537661195779602
147.25,15.539932590855804
148.8,15.542203985932005
150.35,15.544475381008207
151.9,15.546746776084408
153.45000000000002,15.54901817116061
155.0,nan
